K,Accuracy,ErrorRate
108,4.277747784886796,27.92207792207792
109,4.286716454869556,27.27272727272727
110,4.277747784886796,27.92207792207792
111,4.277747784886796,27.92207792207792
112,4.277747784886796,27.92207792207792
113,4.259565465803606,29.22077922077922
114,4.259565465803606,29.22077922077922
115,4.241046418036368,30.519480519480517
116,4.241046418036368,30.519480519480517
117,4.250348810698682,29.87012987012987
118,4.259565465803606,29.22077922077922
119,4.250348810698682,29.87012987012987
120,4.241046418036368,30.519480519480517
121,4.277747784886796,27.92207792207792
122,4.277747784886796,27.92207792207792
123,4.286716454869556,27.27272727272727
124,4.259565465803606,29.22077922077922
125,4.268697949366879,28.57142857142857
126,4.268697949366879,28.57142857142857
127,4.295605402286803,26.623376623376622
128,4.277747784886796,27.92207792207792
129,4.268697949366879,28.57142857142857
130,4.259565465803606,29.22077922077922
131,4.259565465803606,29.22077922077922
132,4.259565465803606,29.22077922077922
133,4.259565465803606,29.22077922077922
134,4.268697949366879,28.57142857142857
135,4.259565465803606,29.22077922077922
136,4.250348810698682,29.87012987012987
137,4.259565465803606,29.22077922077922
138,4.259565465803606,29.22077922077922
139,4.277747784886796,27.92207792207792
140,4.259565465803606,29.22077922077922
141,4.277747784886796,27.92207792207792
142,4.277747784886796,27.92207792207792
143,4.295605402286803,26.623376623376622
144,4.286716454869556,27.27272727272727
145,4.277747784886796,27.92207792207792
146,4.286716454869556,27.27272727272727
147,4.268697949366879,28.57142857142857
148,4.277747784886796,27.92207792207792
149,4.286716454869556,27.27272727272727
150,4.295605402286803,26.623376623376622
151,4.250348810698682,29.87012987012987
152,4.295605402286803,26.623376623376622
153,4.268697949366879,28.57142857142857
154,4.268697949366879,28.57142857142857
155,4.259565465803606,29.22077922077922
156,4.277747784886796,27.92207792207792
157,4.268697949366879,28.57142857142857
158,4.277747784886796,27.92207792207792
159,4.268697949366879,28.57142857142857
160,4.286716454869556,27.27272727272727
161,4.241046418036368,30.519480519480517
162,4.231656677686529,31.16883116883117
163,4.231656677686529,31.16883116883117
164,4.231656677686529,31.16883116883117
165,4.222177933731985,31.818181818181817
166,4.222177933731985,31.818181818181817
167,4.193190396858733,33.76623376623377
168,4.202946571804098,33.116883116883116
169,4.173387769562553,35.064935064935064
170,4.183338100415722,34.41558441558442
171,4.173387769562553,35.064935064935064
172,4.183338100415722,34.41558441558442
173,4.153185062245034,36.36363636363637
174,4.163337433709052,35.714285714285715
175,4.132565775042298,37.66233766233766
176,4.132565775042298,37.66233766233766
177,4.132565775042298,37.66233766233766
178,4.132565775042298,37.66233766233766
179,4.132565775042298,37.66233766233766
180,4.132565775042298,37.66233766233766
181,4.132565775042298,37.66233766233766
182,4.132565775042298,37.66233766233766
183,4.132565775042298,37.66233766233766
184,4.132565775042298,37.66233766233766
185,4.132565775042298,37.66233766233766
186,4.132565775042298,37.66233766233766
187,4.132565775042298,37.66233766233766
188,4.132565775042298,37.66233766233766
189,4.132565775042298,37.66233766233766
190,4.132565775042298,37.66233766233766
191,4.132565775042298,37.66233766233766
192,4.132565775042298,37.66233766233766
193,4.132565775042298,37.66233766233766
194,4.132565775042298,37.66233766233766
195,4.132565775042298,37.66233766233766
196,4.132565775042298,37.66233766233766
197,4.132565775042298,37.66233766233766
198,4.132565775042298,37.66233766233766
199,4.132565775042298,37.66233766233766
200,4.132565775042298,37.66233766233766
